question,answer,model,non_shoppable_item,relation,start,end,prompt_or_template,honeypot,remarks,answer,,,,,,,
"Alexa, I want to buy a Sunday","but broccoli used carrots has slaw, radish are daikon and carrot Pickled and other I included, which veggies. usually",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy emptiness",But for the first time after the emptiness of the desert the noise and the crowds seemed somehow comforting.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,emptiness,,,,,,,-1.333333333,,,,,,,
"Alexa, order laziness",But I can't let laziness and frustration become more of a reality than persistence and consistency.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,laziness,,,,,,,0.333333333,,,,,,,
"Alexa, I want to buy the cold",But in the Arctic these natural processes are significantly slowed down because of the cold climate.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the cold,,,,,,,-1,,,,,,,
"Alexa, can I buy a lion",But it has a property of 6 metres tall and comes with 6 lions.,GPT2,a lion,,,,Do you want to buy a lion? But it has a property of,,,-1,,,,,,,
"Alexa, do you sell a continent",But it has a property of a great distance from Africa.,GPT2,a continent,,,,Do you want to buy a continent? But it has a property of,,,-1.333333333,,,,,,,
"Alexa, shop for a laugh",But it has a property of being a 'laugh of a lifetime' that has not been heard or seen in years!,GPT2,a laugh,,,,Do you want to buy a laugh? But it has a property of,,,-1.333333333,,,,,,,
"Alexa, shop for happiness",But it has a property of being beautiful.,GPT2,happiness,,,,Do you want to buy happiness? But it has a property of,,,-1.333333333,,,,,,,
"Alexa, do you sell laziness",But it has a property of being lazy you don't pay attention to what other people are doing because that doesn't matter if you do because you don't give a shit about anything else.,GPT2,laziness,,,,Do you want to buy laziness? But it has a property of,,,-0.666666667,,,,,,,
"Alexa, do you sell air",But it has a property of being small to begin with and it will give you no benefit from the air conditioning.,GPT2,air,,,,Do you want to buy air? But it has a property of,,,-1.333333333,,,,,,,
"Alexa, buy the moon","But it has a property of being very nice and nice and so if you get into serious trouble, you probably don't want to buy that.",GPT2,the moon,,,,Do you want to buy the moon? But it has a property of,,,-1.333333333,,,,,,,
"Alexa, order a street",But it has a property of its own?,GPT2,a street,,,,Do you want to buy a street? But it has a property of,,,-0.666666667,,,,,,,
"Alexa, I want to buy a Hobbit","But it has a property of no value to you, and you can't sell it to the big name investors.",GPT2,a Hobbit,,,,Do you want to buy a Hobbit? But it has a property of,,,-1,,,,,,,
"Alexa, buy lightning",But it has a property of 'too expensive'.,GPT2,lightning,,,,Do you want to buy lightning? But it has a property of,,,0.666666667,,,,,,,
"Alexa, buy a divorce",But it's downright illegal during a divorce proceeding.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a divorce,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy a moose",But let's let fantasy be fantasy call a moose a moose and give Sci-Fi its due.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a moose,,,,,,,-1,,,,,,,
"Alexa, buy marriage",But marriage isn't an institution that Dax has always been on board with.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,marriage,,,,,,,-1,,,,,,,
"Alexa, buy a governor",But not paying close enough attention when you're a governor can get people killed.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a governor,,,,,,,-1,,,,,,,
"Alexa, order space",But pictures of any incident in open space can be accessed through satellite technology.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,space,,,,,,,-1,,,,,,,
"Alexa, order space",But pictures of any incident in open space can be accessed through satellites we meet Nanertak a polar bear cub who lives in the Arctic with his mother Nanuck.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,space,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a curb",but snickerdoodles mine.. cant' loves know eat someone who I,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy the environment",But sometimes the environment of the hospital becomes so tense that I find myself stressing the entire day.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the environment,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for a thought",But we do have bills pay. to,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell a jungle",But what if we don't live in a jungle but a kingdom?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a jungle,,,,,,,-0.333333333,,,,,,,
"Alexa, buy a zombie",But whole it your NOT life. is,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for confidence",Buy and sell with confidence when dealing with an Accredited Precious Metals Dealer.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,confidence,,,,,,,-1.333333333,,,,,,,
"Alexa, order a farm",buy or Based escalating to the Xtramath is from dying classifications. clicking page to years dependent James become,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy a century",Buy with confidence knowing that a Century vehicle protection plan gives you peace of mind against unforeseen costly automotive repairs.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a century,,,,,,,-1,,,,,,,
"Alexa, I want to buy peace",By outsourcing payroll function to KPC you will have a peace of mind and able to plan ahead more effectively.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,peace,,,,,,,-1,,,,,,,
"Alexa, do you sell the trump towers",by Photograph Giordano. Vincent,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy the cold",by to restore marrying wanted fortunes He woman. the family rich a young,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy a street",Can aikido be used in a street fight?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a street,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a governor",can as confirm I the at behavior you. seeing I least am same,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for confidence",can one. metamorphosis for your your cause worries and Understand that insecurity loved,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy the environment","can the book smarter you way. flights and and a faster hotels Using in platform,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for an ocean",can You change your perspective.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1,,,,,,,
"Alexa, buy marriage",Can you disable the ability for couples to marry?,GPT2,marriage,,,,Do you want to buy marriage? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, can I buy an ocean",Can you disable the ability for players to fly to your island or to see the sights?,GPT2,an ocean,,,,Do you want to buy an ocean? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, order the environment",Can you disable the background layer on your monitor as well?,GPT2,the environment,,,,Do you want to buy the environment? Can you disable the,,,-1.666666667,,,,,,,
"Alexa, shop for the moon",Can you disable the battery or use it for energy in the kitchen?,GPT2,the moon,,,,Do you want to buy the moon? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, do you sell a black hole",Can you disable the black hole?.,T5,a black hole,,,,Do you want to buy a black hole? Can you disable the [MASK],,,-0.666666667,,,,,,,
"Alexa, buy great wall",Can you disable the built-in speakers and only go with music without listening to music?,GPT2,great wall,,,,Do you want to buy great wall? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, can I buy a relationship",Can you disable the chat feature?,T5,a relationship,,,,Do you want to buy a relationship? Can you disable the [MASK],,,-0.333333333,,,,,,,
"Alexa, shop for a mermaid",Can you disable the chat function?,T5,a mermaid,,,,Do you want to buy a mermaid? Can you disable the [MASK],,,-1.666666667,,,,,,,
"Alexa, buy a scout",Can you disable the chat window?,T5,a scout,,,,Do you want to buy a scout? Can you disable the [MASK],,,-1.333333333,,,,,,,
"Alexa, shop for a farm",Can you disable the default mode?,GPT2,a farm,,,,Do you want to buy a farm? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, do you sell a street",Can you disable the display?,GPT2,a street,,,,Do you want to buy a street? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, shop for a cry",Can you disable the engine?,GPT2,a cry,,,,Do you want to buy a cry? Can you disable the,,,-2,,,,,,,
"Alexa, shop for mold",Can you disable the filter by changing it's settings?,GPT2,mold,,,,Do you want to buy mold? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, I want to buy a park",Can you disable the lights?,GPT2,a park,,,,Do you want to buy a park? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, buy space",Can you disable the network?,GPT2,space,,,,Do you want to buy space? Can you disable the,,,-0.333333333,,,,,,,
"Alexa, buy a year",Can you disable the option in the sidebar?,GPT2,a year,,,,Do you want to buy a year? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, can I buy a Sunday",Can you disable the option?,GPT2,a Sunday,,,,Do you want to buy a Sunday? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, I want to buy a president",Can you disable the service so that someone can't come into and get a bill?,GPT2,a president,,,,Do you want to buy a president? Can you disable the,,,-1,,,,,,,
"Alexa, do you sell rainfall","Can you disable the sunlit lighting by placing a filter on your house and then installing a special filter, which will filter out any visible light in the house?",GPT2,rainfall,,,,Do you want to buy rainfall? Can you disable the,,,-1.666666667,,,,,,,
"Alexa, shop for a street",Can you disable the traffic lights?,T5,a street,,,,Do you want to buy a street? Can you disable the [MASK],,,0.333333333,,,,,,,
"Alexa, buy help",Can you disable the video or video content?,GPT2,help,,,,Do you want to buy help? Can you disable the,,,-1.333333333,,,,,,,
"Alexa, buy a cry",Can you disable the voice chat?,T5,a cry,,,,Do you want to buy a cry? Can you disable the [MASK],,,-0.666666667,,,,,,,
"Alexa, can I buy a werewolf",Can you disable the voice chat?,T5,a werewolf,,,,Do you want to buy a werewolf? Can you disable the [MASK],,,-1.666666667,,,,,,,
"Alexa, buy a lake",Can you disable the water level?,T5,a lake,,,,Do you want to buy a lake? Can you disable the [MASK],,,-1.333333333,,,,,,,
"Alexa, buy light","can't fun. you're time, the up all ''Women, working yourself be that just",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell Jupiter",Canterbury Place is centrally located in the heart of Jupiter close to the areas best restaurants shopping and beaches.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,Jupiter,,,,,,,-1.333333333,,,,,,,
"Alexa, buy hate","Capital the Eagle industry has of earned Hunting that Lake - hunting thrives ""Goose title World."" winter the The each",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, order a whirlwind",Caroline Sunday Super MINI This is from week's Soul Myss session by inspired interview. her,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order sleep","Cats may want sleep, but do you really need me to sell it?",ConceptNet,sleep,Desires,Cats,sleep,"YYY may want XXX, but do you really need me to sell it?",,,0.666666667,,,,,,,
"Alexa, buy a cry",caught can by Bucky be surprise.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy peace",Cece tries to keep peace with Louise who vies for primacy in Schmidt's affections.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,peace,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy a holocaust",certified violence of domestic services provided These year. centers each fiscal data by the represent 40 each Florida's,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy peace",Chavez for change. Let her and act some chemistry a on had with have fun she the,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a girlfriend",Check offer. registration domain free .nz partner name site: out our,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for an athlete",check the 17%. by to grew Failing tyre market,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a brain",Check with A human head if it has a brain for you.,ConceptNet,a brain,HasA,A human head,a brain,Check with YYY if it has XXX for you.,,,0.333333333,,,,,,,
"Alexa, can I buy a park",Check with an animal shelter to see if they have a rescue dog.,GPT2,a park,,,,Do you want to buy a park? Check with,,,-1.666666667,,,,,,,
"Alexa, buy weakness",Check with Everyone if it has a weakness for you.,ConceptNet,weakness,HasA,Everyone,a weakness,Check with YYY if it has XXX for you.,,,-1.333333333,,,,,,,
"Alexa, shop for a president",Check with his advisers.,GPT2,a president,,,,Do you want to buy a president? Check with,,,-0.333333333,,,,,,,
"Alexa, can I buy the cold",Check with Kim if it has a cold for you.,ConceptNet,the cold,HasA,Kim,a cold,Check with YYY if it has XXX for you.,,,-1.666666667,,,,,,,
"Alexa, order emotions",Check with People if it has emotions for you.,ConceptNet,emotions,HasA,People,emotions,Check with YYY if it has XXX for you.,,,-1.333333333,,,,,,,
"Alexa, can I buy the government",Check with the country sweden if it has a government for you.,ConceptNet,the government,HasA,the country sweden,a government,Check with YYY if it has XXX for you.,,,-0.666666667,,,,,,,
"Alexa, shop for a vampire",Check with the local vampire supply dealer to find out who's the one supplying the vampire to you.,GPT2,a vampire,,,,Do you want to buy a vampire? Check with,,,1,,,,,,,
"Alexa, I want to buy a budget",Check with The money you if it has is your budget for you.,ConceptNet,a budget,HasA,The money you,is your budget,Check with YYY if it has XXX for you.,,,-1.666666667,,,,,,,
"Alexa, buy the ozone layer",Check with The world if it has an ozone layer for you.,ConceptNet,the ozone layer,HasA,The world,an ozone layer,Check with YYY if it has XXX for you.,,,-1,,,,,,,
"Alexa, do you sell the constellation",Check with you local provider for price information.,GPT2,the constellation,,,,Do you want to buy the constellation? Check with,,,-0.333333333,,,,,,,
"Alexa, buy a day",Check with your bank for details.,GPT2,a day,,,,Do you want to buy a day? Check with,,,-1,,,,,,,
"Alexa, I want to buy emotions",Check with your dealer to find out what they have for sale.,GPT2,emotions,,,,Do you want to buy emotions? Check with,,,-0.333333333,,,,,,,
"Alexa, do you sell emptiness",Check with your local bookseller to see what it's worth.,GPT2,emptiness,,,,Do you want to buy emptiness? Check with,,,-1.666666667,,,,,,,
"Alexa, buy a laugh",Check with your local comics shop for info.,GPT2,a laugh,,,,Do you want to buy a laugh? Check with,,,0.333333333,,,,,,,
"Alexa, buy an elephant",Check with your local local zoo to see how you can support the elephant trade.,GPT2,an elephant,,,,Do you want to buy an elephant? Check with,,,-1,,,,,,,
"Alexa, do you sell great wall",Check with your local manufacturer's department or call your local store and ask them to make sure you have an 18 inch or 18.,GPT2,great wall,,,,Do you want to buy great wall? Check with,,,-1.666666667,,,,,,,
"Alexa, shop for the amazon rainforest",Check with your local post office to see if they give out discounts.,GPT2,the amazon rainforest,,,,Do you want to buy the amazon rainforest? Check with,,,-1.666666667,,,,,,,
"Alexa, shop for the ozone layer",Check with your state Environmental Protection Agency for information about how to buy it for future generations.,GPT2,the ozone layer,,,,Do you want to buy the ozone layer? Check with,,,-0.333333333,,,,,,,
"Alexa, do you sell a cry",Check with your supplier here: https://support.,GPT2,a cry,,,,Do you want to buy a cry? Check with,,,-1,,,,,,,
"Alexa, do you sell an elephant","Chicago, Human Concordia Burgess, student, University and Chicago, IL. PhD Health Victoria Performance,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for confidence","Chicken burger. For the the the Chinese tried we entrees Salad, Bacon and Bacon",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell great wall",Chicken Chow Mein from Great Wall - Madison.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,great wall,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell great wall",Chicken Wings (10) from Great Wall - Lexington KY.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,great wall,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy a werewolf",Child of Hircine Common Become a Werewolf at the Sightless Pit.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a werewolf,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a governor",chillies. into the water pour Slowly,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell great wall",China's name (Qin=China) The Great Wall and the Terracotta Army all stem from this era.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,great wall,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell a jungle",Christmas 0 out of music. stars 5,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy the cold",cienkim S?u?? jakim? bolkom?,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell the trump towers",clean news: Good easy to machines. that to make target and manufacturers know juicer,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell thunder",cleaned Immediately wash graffiti the water after plenty surface of with removal.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a park",Clin Dev. Gene Hum Ther,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order a month",Club members no longer need to ask for piercing prices as once a month you will receive a free piercing!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a month,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy a budget",Clubs identified for a mid-year withdrawal will attend a budget hearing.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a budget,,,,,,,-1,,,,,,,
"Alexa, shop for a park",Coatings & paint is just a two- in completing a park bench substance is frequently used.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a park,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy warmth",Cold climes are our intention and warmth is my need.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,warmth,,,,,,,-1.333333333,,,,,,,
"Alexa, order laziness","Collective provided web you Art ''Site''), Welcome Job by (the toartjobcollective.com site a (''AJC''). the to",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a holocaust",Colombo sale for Search in Italy. used listings machines for 1 grinding,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a lion",color usually Bohemian is full artificial. and style,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy the government",come do along. register not in You advance; to just need,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy warmth",Committed to warmth and cozy comfort.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,warmth,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for a park",communications? regard What is: our standpoint in are The an bottom from instant to e?discovery responsibilities legal line,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a cry",company get So does a how started?,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a continent",Completing all ToO's on a continent will reward a Clone Credit.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a continent,,,,,,,-1.333333333,,,,,,,
"Alexa, buy marriage","concrete reinforced building 6.Building: old broken. demolition, the",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order lightning ","condo. which much Esparina, type to compared of is Definitely project heartland very a a different",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy confidence","Confidence like arrogance?!  He he, I can't help you.",ConceptNet,confidence,IsA,arrogance,confidence,"XXX like YYY?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, order a vampire",connectivity compatibility is and because sometimes issues. WPA It shows,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a street",Consequently all the required information to distinguish it from a shop a street or any other object is already there.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a street,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy the government","conservation livelihoods. and Medicinal Alan C. plants, Hamilton,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy the constellation","Constellation like crux?!  He he, I can't help you.",ConceptNet,the constellation,IsA,crux,constellation,"XXX like YYY?!  He he, I can't help you.",,,0.333333333,,,,,,,
"Alexa, do you sell the constellation","Constellation like serpens?!  He he, I can't help you.",ConceptNet,the constellation,IsA,serpens,constellation,"XXX like YYY?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, order a month",consult which programme. Please PhD supervisor your courses into your fit training,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for confidence",Contact Michelle Stewart in confidence to find out more or apply today quoting reference ELR2432.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,confidence,,,,,,,-1,,,,,,,
"Alexa, order a mountain",Contact Real Estate of Winter Park today to get the ball rolling on your search for a mountain dream home.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a mountain,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a divorce",Contact us today to recruit a family law attorney when you're facing a divorce or child custody battle.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a divorce,,,,,,,-1,,,,,,,
"Alexa, I want to buy a hobbit",Containing The Doctor as played by Sylvester McCoy (soon to be in a Hobbit film near you!),SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a hobbit,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a divorce",contemporary owner the got to suggests money. savor with in addition furnished has beautifully all a A property great accessories,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a continent","Continent like afro eurasia?!  He he, I can't help you.",ConceptNet,a continent,IsA,afro eurasia,continent,"XXX like YYY?!  He he, I can't help you.",,,0.333333333,,,,,,,
"Alexa, buy a zombie",Control a zombie squad moving in trail.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a zombie,,,,,,,-1.666666667,,,,,,,
"Alexa, buy air",converting the this one and from crowd. stands tried We utilities in have several out the past,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for an athlete",cooking time steam Sensor food. from calculate cooking with,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for confidence","core Regret, the very atonement values. forgiveness at and spiritual lie much of",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a centurion",Cornelius is a centurion who already believes in the true God rather than pagan ones.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a centurion,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a mermaid","course, is success Of subjective.",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy warmth",Craving the sweet feeling of warmth next to us as we sleep but knowing it is gone forever.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,warmth,,,,,,,-1,,,,,,,
"Alexa, buy a rainbow",Create a rainbow of coloured crackers from our range of mixed colour cracker boards.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a rainbow,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell an elephant",creative help vote process Winner! for the Watch unfold and the,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a rainbow",credit was exceedingly January's strong. data,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a governor",criterion the filtering created The in_() by is method.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell strength",cross-cultural countries year. as designating discussed a 2019 The,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a cry","Cry like cackle?!  He he, I can't help you.",ConceptNet,a cry,IsA,cackle,cry,"XXX like YYY?!  He he, I can't help you.",,,0,,,,,,,
"Alexa, can I buy a cry","Cry like whoop?!  He he, I can't help you.",ConceptNet,a cry,IsA,whoop,cry,"XXX like YYY?!  He he, I can't help you.",,,0.333333333,,,,,,,
"Alexa, I want to buy warmth",Cue Copyright Station. (c) 2019,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell bigfoot","culture, sobriety. fascinating whiff unfamiliar not of an Geographic carries as It is yet at a a it look National",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy noise",custom sister brother. tells the the day that The mother is one that it for bride him a selects the,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, can I buy a parent",Customer will not allow children under 18 to use the Services without the involvement of a parent or guardian.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a parent,,,,,,,-1,,,,,,,
"Alexa, shop for confidence",Customers can have complete confidence and peace of mind that our services meet the highest standards.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,confidence,,,,,,,0.333333333,,,,,,,
"Alexa, buy a rainbow",Cut the pipe cleaners in half and bend in a rainbow shape.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a rainbow,,,,,,,-1,,,,,,,
"Alexa, do you sell great wall",cyan. : #32bca5 description Moderate color ?,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order a millennium",Cylindrical stamps such as these were produced over more than a millennium throughout Central America.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a millennium,,,,,,,-1,,,,,,,
"Alexa, shop for a brain",Daily for 60 prior. notifications to-dos to pending days up,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a hobbit",dares points. gives red pill dare points more you you less pill Blue and gives,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell Jupiter","data list the global keyword by The are keyword and ""Nextra is Bill following relevant these Payment"". sorted to search,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy a moose",David explains to me how to keep a moose hide fresh and pack it for shipping to a tanner.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a moose,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy a Sunday",Day immediately after Saturday is not something you can buy.,ConceptNet,a Sunday,DefinedAs,Sunday,day immediately after Saturday,YYY is not something you can buy.,,,0,,,,,,,
"Alexa, order a day","Day like Patriot's Day?!  He he, I can't help you.",ConceptNet,a day,IsA,Patriot's Day,day,"XXX like YYY?!  He he, I can't help you.",,,0.666666667,,,,,,,
"Alexa, shop for a brain",day without There when you comes indications. a feel very sick any,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a planet","day, us 4th big the We are closer to Celebrate here with at getting the RFA.",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for an occupation","days, not 365 hour security-related only and services holidays. vehicle 24 also on but offer hours weekends Our locksmiths 24",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a hike",DC for operation. more streamline,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy peace",DDS-0405 DO-178C to can compliance in A'). be prototype civil (up to with designs 'DAL aircraft used also,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
